IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
35.167.93.200,443,TRUE,PDX,North America,Portland,205 ms,6
18.189.94.250,443,TRUE,CMH,North America,Columbus,230 ms,6
3.98.73.243,443,TRUE,YUL,North America,Montréal,249 ms,6
44.227.22.10,443,TRUE,PDX,North America,Portland,205 ms,6
3.99.106.179,443,TRUE,YUL,North America,Montréal,257 ms,6
15.157.7.168,443,TRUE,YUL,North America,Montréal,250 ms,6
64.181.240.173,443,TRUE,SJC,North America,San Jose,190 ms,6
129.146.46.164,443,TRUE,LAX,North America,Los Angeles,283 ms,6
192.9.250.241,443,TRUE,SJC,North America,San Jose,193 ms,6
150.136.87.192,443,TRUE,IAD,North America,Ashburn,235 ms,6
158.101.24.17,443,TRUE,LAX,North America,Los Angeles,266 ms,6
